GEOID,total,over_200,percent
53033026100,2616,33,1.26146788990826
53033026200,2398,10,0.417014178482068
53033026300,560,16,2.85714285714286
53033026400,2366,7,0.29585798816568
53033026500,1477,0,0
53033026600,882,7,0.793650793650794
53033026700,1999,83,4.15207603801901
53033026801,2190,7,0.319634703196347
53033026802,1491,27,1.81086519114688
53033027000,995,50,5.0251256281407
53033027100,1124,9,0.800711743772242
53033027200,889,0,0
53033027300,2033,16,0.787014264633546
53033027400,1479,27,1.82555780933063
53033027500,1525,23,1.50819672131148
53033027600,1433,59,4.11723656664341
53033027701,2668,263,9.8575712143928
53033027702,2235,177,7.91946308724832
53033027800,1199,147,12.2602168473728
53033027900,2783,113,4.0603665109594
53033028000,1334,15,1.12443778110945
53033028100,770,0,0
53033028200,1758,31,1.76336746302617
53033028300,1706,36,2.11019929660023
53033028402,1734,0,0
53033028403,2327,0,0
53033028500,1456,0,0
53033028600,2636,308,11.6843702579666
53033028700,1824,75,4.11184210526316
53033028801,964,0,0
53033028802,2167,25,1.15366866635902
53033028901,1493,7,0.468854655056932
53033028902,2427,77,3.17264112072518
53033029001,1812,108,5.96026490066225
53033029003,1957,30,1.53295861011753
53033029004,1226,8,0.65252854812398
53033029101,1055,48,4.54976303317536
53033029102,1337,49,3.66492146596859
53033029203,1050,0,0
53033029204,2215,44,1.98645598194131
53033029205,2029,12,0.59142434696895
53033029206,1648,0,0
53033029303,3021,132,4.36941410129096
53033029304,1721,152,8.83207437536316
53033029305,1223,97,7.93131643499591
53033029306,1114,26,2.33393177737881
53033029307,1326,42,3.16742081447964
53033029403,1739,96,5.52041403105233
53033029405,1571,67,4.26479949077021
53033029406,1490,60,4.02684563758389
53033029407,1421,0,0
53033029408,1460,5,0.342465753424658
53033029502,1847,143,7.74228478613969
53033029503,2719,27,0.993012136815006
53033029504,1964,18,0.916496945010183
53033029601,1778,62,3.48706411698538
53033029602,1507,110,7.2992700729927
53033029700,2890,119,4.11764705882353
53033029801,2731,119,4.35737824972538
53033029802,3228,95,2.94299876084263
53033029901,1636,77,4.70660146699267
53033029902,1527,72,4.71512770137525
53033030003,2133,123,5.76652601969058
53033030004,3031,33,1.08874958759485
53033030005,1814,39,2.14994487320838
53033030006,1637,16,0.977397678680513
53033030100,2693,223,8.28072781284813
53033030201,1970,0,0
53033030202,2232,38,1.70250896057348
53033030304,986,60,6.08519269776876
53033030305,2076,78,3.75722543352601
53033030306,2060,120,5.8252427184466
53033030308,2277,33,1.44927536231884
53033030309,2467,67,2.71584920956627
53033030310,2027,44,2.17069560927479
53033030311,1688,48,2.8436018957346
53033030312,1751,84,4.79725870930897
53033030313,1734,20,1.15340253748558
53033030314,1855,53,2.85714285714286
53033030401,2988,50,1.67336010709505
53033030403,1613,37,2.2938623682579
53033030404,1525,41,2.68852459016393
53033030501,910,6,0.659340659340659
53033030503,1940,9,0.463917525773196
53033030504,1929,33,1.71073094867807
53033030600,2237,16,0.715243629861422
53033030700,1538,19,1.23537061118336
53033030801,2455,0,0
53033030802,1427,15,1.05115627189909
53033030901,1152,20,1.73611111111111
53033030902,1982,28,1.41271442986882
53033031000,1247,108,8.6607858861267
53033031100,2820,2,0.0709219858156028
53033031202,2231,112,5.02017032720753
53033031204,2251,206,9.15148822745446
53033031205,2254,92,4.08163265306122
53033031206,1764,40,2.26757369614512
53033031301,1000,76,7.6
53033031302,1657,95,5.73325286662643
53033031400,2354,75,3.18606627017842
53033031501,1539,26,1.68940870695257
53033031502,1755,57,3.24786324786325
53033031601,1915,132,6.89295039164491
53033031603,2008,201,10.0099601593625
53033031604,1584,23,1.4520202020202
53033031605,1367,104,7.60790051207023
53033031703,2360,117,4.95762711864407
53033031704,1581,89,5.62934851359899
53033031705,1307,77,5.89135424636572
53033031706,2012,150,7.45526838966203
53033031800,1730,76,4.39306358381503
53033031903,2426,61,2.51442704039571
53033031904,1280,262,20.46875
53033031906,1350,230,17.037037037037
53033031907,2884,286,9.91678224687933
53033031908,1992,99,4.96987951807229
53033031909,1209,109,9.01571546732837
53033032002,1160,82,7.06896551724138
53033032003,1919,253,13.1839499739448
53033032005,2184,77,3.52564102564103
53033032006,1642,84,5.11571254567601
53033032007,1311,126,9.61098398169336
53033032008,1338,112,8.37070254110613
53033032010,2013,142,7.0541480377546
53033032011,1363,88,6.45634629493764
53033032102,1891,222,11.7398202009519
53033032103,2047,145,7.08353688324377
53033032104,2494,331,13.2718524458701
53033032203,2266,708,31.2444836716681
53033032207,1124,273,24.288256227758
53033032208,3726,433,11.6210413311863
53033032210,3722,663,17.8130037614186
53033032211,1758,255,14.5051194539249
53033032212,3048,331,10.8595800524934
53033032213,1389,410,29.5176385889129
53033032214,1885,463,24.5623342175066
53033032215,1307,496,37.9495026778883
53033032307,2393,287,11.99331383201
53033032309,2596,152,5.85516178736518
53033032311,2036,383,18.811394891945
53033032313,2678,371,13.8536221060493
53033032315,1961,510,26.0071392146864
53033032316,1786,639,35.7782754759239
53033032317,2056,499,24.2704280155642
53033032318,1809,438,24.212271973466
53033032319,2305,151,6.55097613882863
53033032320,1418,504,35.5430183356841
53033032321,1617,562,34.7557204700062
53033032322,1214,335,27.5947281713344
53033032323,2138,376,17.5865294667914
53033032324,2142,191,8.91690009337068
53033032325,2508,227,9.05103668261563
53033032326,1393,357,25.6281407035176
53033032327,1944,369,18.9814814814815
53033032328,1149,295,25.674499564839
53033032329,2632,509,19.338905775076
53033032401,2008,145,7.22111553784861
53033032402,2077,224,10.784785748676
53033032500,1933,242,12.5193998965339
53033032601,1218,111,9.11330049261084
53033032602,3584,758,21.1495535714286
53033032702,2589,278,10.7377365778293
53033032703,756,37,4.89417989417989
53033032704,2509,328,13.072937425269
53033032800,1125,198,17.6
53033990100,0,0,NaN
53061040100,1624,128,7.88177339901478
53061040200,2471,14,0.56657223796034
53061040300,1187,42,3.53833192923336
53061040400,1792,20,1.11607142857143
53061040500,888,8,0.900900900900901
53061040700,1967,10,0.508388408744281
53061040800,1221,6,0.491400491400491
53061040900,1177,53,4.50297366185217
53061041000,2472,39,1.57766990291262
53061041100,1866,29,1.55412647374062
53061041201,1149,48,4.17754569190601
53061041202,2255,0,0
53061041301,2020,251,12.4257425742574
53061041303,1747,22,1.25930165998855
53061041304,1079,214,19.8331788693234
53061041400,2081,27,1.29745314752523
53061041500,554,26,4.69314079422383
